validdate;t_max_2m_24h:C;precip_24h:mm
2019-04-01T07:00:00Z;21.1;0.00
2019-04-02T07:00:00Z;18.6;0.00
2019-04-03T07:00:00Z;21.4;5.77
2019-04-04T07:00:00Z;12.5;10.33
2019-04-05T07:00:00Z;4.8;2.21
2019-04-06T07:00:00Z;10.1;0.00
2019-04-07T07:00:00Z;15.3;0.00
2019-04-08T07:00:00Z;10.9;0.16
2019-04-09T07:00:00Z;14.1;0.00
2019-04-10T07:00:00Z;15.1;0.17
2019-04-11T07:00:00Z;11.2;5.27
2019-04-12T07:00:00Z;12.3;0.00
2019-04-13T07:00:00Z;12.9;0.00
2019-04-14T07:00:00Z;9.3;0.20
2019-04-15T07:00:00Z;6.6;0.86
2019-04-16T07:00:00Z;16.3;0.00
2019-04-17T07:00:00Z;15.9;3.69
2019-04-18T07:00:00Z;19.2;0.00
2019-04-19T07:00:00Z;22.3;0.00
2019-04-20T07:00:00Z;24.6;0.07
2019-04-21T07:00:00Z;24.2;0.00
2019-04-22T07:00:00Z;22.8;0.00
2019-04-23T07:00:00Z;24.8;0.00
2019-04-24T07:00:00Z;23.9;0.00
2019-04-25T07:00:00Z;23.3;7.00
2019-04-26T07:00:00Z;26.0;5.68
2019-04-27T07:00:00Z;13.6;4.04
2019-04-28T07:00:00Z;13.6;7.52
2019-04-29T07:00:00Z;12.6;0.68
2019-04-30T07:00:00Z;13.5;0.00
2019-05-01T07:00:00Z;15.2;0.00
2019-05-02T07:00:00Z;19.8;0.00
2019-05-03T07:00:00Z;18.3;14.16
2019-05-04T07:00:00Z;14.0;0.34
2019-05-05T07:00:00Z;13.1;2.98
2019-05-06T07:00:00Z;11.2;0.03
2019-05-07T07:00:00Z;13.2;0.00
2019-05-08T07:00:00Z;16.4;2.71
2019-05-09T07:00:00Z;12.5;17.05
2019-05-10T07:00:00Z;17.5;5.39
2019-05-11T07:00:00Z;16.6;3.86
2019-05-12T07:00:00Z;17.2;2.21
2019-05-13T07:00:00Z;15.5;0.65
2019-05-14T07:00:00Z;17.9;0.00
2019-05-15T07:00:00Z;17.5;0.00
2019-05-16T07:00:00Z;16.1;0.00
2019-05-17T07:00:00Z;14.9;0.00
2019-05-18T07:00:00Z;20.1;0.46
2019-05-19T07:00:00Z;18.0;4.30
2019-05-20T07:00:00Z;17.7;31.14
2019-05-21T07:00:00Z;15.5;5.50
2019-05-22T07:00:00Z;14.5;1.13
2019-05-23T07:00:00Z;20.9;0.00
2019-05-24T07:00:00Z;22.0;0.00
2019-05-25T07:00:00Z;23.4;0.00
2019-05-26T07:00:00Z;23.1;2.77
2019-05-27T07:00:00Z;22.8;0.00
2019-05-28T07:00:00Z;22.1;1.35
2019-05-29T07:00:00Z;16.6;4.41
2019-05-30T07:00:00Z;18.5;0.00
2019-05-31T07:00:00Z;22.5;0.00
2019-06-01T07:00:00Z;25.2;0.00
2019-06-02T07:00:00Z;27.4;0.00
2019-06-03T07:00:00Z;30.2;0.00
2019-06-04T07:00:00Z;28.6;0.48
2019-06-05T07:00:00Z;32.5;0.05
2019-06-06T07:00:00Z;31.1;0.60
2019-06-07T07:00:00Z;15.2;10.53
2019-06-08T07:00:00Z;25.6;4.62
2019-06-09T07:00:00Z;22.8;0.00
2019-06-10T07:00:00Z;21.0;14.23
2019-06-11T07:00:00Z;20.6;33.28
2019-06-12T07:00:00Z;16.4;0.15
2019-06-13T07:00:00Z;20.5;1.86
2019-06-14T07:00:00Z;24.5;0.89
2019-06-15T07:00:00Z;25.6;0.55
2019-06-16T07:00:00Z;23.2;19.71
2019-06-17T07:00:00Z;23.7;0.05
2019-06-18T07:00:00Z;27.2;0.00
2019-06-19T07:00:00Z;30.4;0.00
2019-06-20T07:00:00Z;31.0;15.00
2019-06-21T07:00:00Z;23.6;27.52
2019-06-22T07:00:00Z;24.1;3.05
2019-06-23T07:00:00Z;22.4;0.91
2019-06-24T07:00:00Z;27.9;0.00
2019-06-25T07:00:00Z;31.8;0.00
2019-06-26T07:00:00Z;35.1;0.00
2019-06-27T07:00:00Z;36.5;0.01
2019-06-28T07:00:00Z;34.3;0.00
2019-06-29T07:00:00Z;31.5;0.00
2019-06-30T07:00:00Z;33.4;0.00
2019-07-01T07:00:00Z;37.2;0.10
2019-07-02T07:00:00Z;34.6;0.00
2019-07-03T07:00:00Z;29.2;0.00
2019-07-04T07:00:00Z;29.2;0.00
2019-07-05T07:00:00Z;30.1;0.00
2019-07-06T07:00:00Z;32.8;0.00
2019-07-07T07:00:00Z;31.2;10.92
2019-07-08T07:00:00Z;30.0;0.13
2019-07-09T07:00:00Z;22.1;0.00
2019-07-10T07:00:00Z;24.2;0.00
2019-07-11T07:00:00Z;25.6;0.00
2019-07-12T07:00:00Z;22.3;4.10
2019-07-13T07:00:00Z;27.6;1.98
2019-07-14T07:00:00Z;25.4;0.00
2019-07-15T07:00:00Z;24.1;16.65
2019-07-16T07:00:00Z;23.0;0.00
2019-07-17T07:00:00Z;27.4;0.00
2019-07-18T07:00:00Z;29.8;0.00
2019-07-19T07:00:00Z;28.6;0.00
2019-07-20T07:00:00Z;29.0;0.00
2019-07-21T07:00:00Z;33.0;6.26
2019-07-22T07:00:00Z;30.4;0.00
2019-07-23T07:00:00Z;30.4;0.00
2019-07-24T07:00:00Z;36.2;0.00
2019-07-25T07:00:00Z;38.4;0.00
2019-07-26T07:00:00Z;39.2;0.07
2019-07-27T07:00:00Z;37.0;41.34
2019-07-28T07:00:00Z;25.9;13.35
2019-07-29T07:00:00Z;19.4;1.43
2019-07-30T07:00:00Z;26.0;0.00
2019-07-31T07:00:00Z;29.9;3.08
2019-08-01T07:00:00Z;24.5;0.00
2019-08-02T07:00:00Z;26.7;0.16
2019-08-03T07:00:00Z;27.7;1.40
2019-08-04T07:00:00Z;27.1;0.00
2019-08-05T07:00:00Z;29.6;0.28
2019-08-06T07:00:00Z;31.1;32.48
2019-08-07T07:00:00Z;28.3;11.23
2019-08-08T07:00:00Z;21.0;17.03
2019-08-09T07:00:00Z;28.1;0.00
2019-08-10T07:00:00Z;35.9;9.22
2019-08-11T07:00:00Z;26.0;0.62
2019-08-12T07:00:00Z;29.5;8.60
2019-08-13T07:00:00Z;21.5;0.27
2019-08-14T07:00:00Z;22.3;0.00
2019-08-15T07:00:00Z;24.3;0.00
2019-08-16T07:00:00Z;23.9;0.20
2019-08-17T07:00:00Z;25.6;0.08
2019-08-18T07:00:00Z;26.4;0.47
2019-08-19T07:00:00Z;31.9;14.55
2019-08-20T07:00:00Z;22.2;2.91
2019-08-21T07:00:00Z;18.2;17.30
2019-08-22T07:00:00Z;23.9;0.00
2019-08-23T07:00:00Z;23.7;0.00
2019-08-24T07:00:00Z;26.1;0.00
2019-08-25T07:00:00Z;27.9;0.00
2019-08-26T07:00:00Z;30.6;0.00
2019-08-27T07:00:00Z;30.2;0.00
2019-08-28T07:00:00Z;31.0;0.60
2019-08-29T07:00:00Z;31.4;0.00
2019-08-30T07:00:00Z;29.7;0.60
2019-08-31T07:00:00Z;29.2;0.00
2019-09-01T07:00:00Z;31.4;0.46
2019-09-02T07:00:00Z;26.2;0.01
2019-09-03T07:00:00Z;20.4;0.00
2019-09-04T07:00:00Z;24.3;0.00
2019-09-05T07:00:00Z;27.5;0.00
2019-09-06T07:00:00Z;18.3;0.30
2019-09-07T07:00:00Z;18.1;0.00
2019-09-08T07:00:00Z;21.7;4.76
2019-09-09T07:00:00Z;15.0;16.09
2019-09-10T07:00:00Z;18.5;0.00
2019-09-11T07:00:00Z;22.0;0.00
2019-09-12T07:00:00Z;21.4;0.05
2019-09-13T07:00:00Z;25.9;0.00
2019-09-14T07:00:00Z;26.0;0.00
2019-09-15T07:00:00Z;24.9;0.00
2019-09-16T07:00:00Z;28.3;0.00
2019-09-17T07:00:00Z;30.2;0.00
2019-09-18T07:00:00Z;21.6;0.00
2019-09-19T07:00:00Z;21.5;0.00
2019-09-20T07:00:00Z;22.0;0.00
2019-09-21T07:00:00Z;22.1;0.00
2019-09-22T07:00:00Z;25.4;0.62
2019-09-23T07:00:00Z;27.2;23.21
2019-09-24T07:00:00Z;20.6;0.00
2019-09-25T07:00:00Z;17.9;3.35
2019-09-26T07:00:00Z;19.1;1.42
2019-09-27T07:00:00Z;18.1;0.08
2019-09-28T07:00:00Z;21.1;2.54
