validdate;t_mean_2m_1h:C;precip_1h:mm
2019-04-01T07:00:00Z;5.8;0.00
2019-04-01T08:00:00Z;7.3;0.00
2019-04-01T09:00:00Z;8.9;0.00
2019-04-01T10:00:00Z;10.8;0.00
2019-04-01T11:00:00Z;12.5;0.00
2019-04-01T12:00:00Z;14.0;0.00
2019-04-01T13:00:00Z;15.4;0.00
2019-04-01T14:00:00Z;16.6;0.00
2019-04-01T15:00:00Z;17.2;0.00
2019-04-01T16:00:00Z;17.0;0.00
2019-04-01T17:00:00Z;16.3;0.00
2019-04-01T18:00:00Z;15.1;0.00
2019-04-01T19:00:00Z;13.5;0.00
2019-04-01T20:00:00Z;11.6;0.00
2019-04-01T21:00:00Z;10.2;0.00
2019-04-01T22:00:00Z;9.5;0.00
2019-04-01T23:00:00Z;8.9;0.00
2019-04-02T00:00:00Z;8.6;0.00
2019-04-02T01:00:00Z;8.5;0.00
2019-04-02T02:00:00Z;8.4;0.00
2019-04-02T03:00:00Z;8.4;0.00
2019-04-02T04:00:00Z;8.6;0.00
2019-04-02T05:00:00Z;8.6;0.00
2019-04-02T06:00:00Z;8.5;0.00
2019-04-02T07:00:00Z;8.5;0.00
2019-04-02T08:00:00Z;9.9;0.00
2019-04-02T09:00:00Z;12.7;0.00
2019-04-02T10:00:00Z;15.2;0.00
2019-04-02T11:00:00Z;17.7;0.00
2019-04-02T12:00:00Z;19.6;0.00
2019-04-02T13:00:00Z;19.8;0.00
2019-04-02T14:00:00Z;18.5;0.00
2019-04-02T15:00:00Z;17.4;0.00
2019-04-02T16:00:00Z;17.2;0.00
2019-04-02T17:00:00Z;16.7;0.04
2019-04-02T18:00:00Z;15.4;0.16
2019-04-02T19:00:00Z;14.0;0.00
2019-04-02T20:00:00Z;13.5;0.00
2019-04-02T21:00:00Z;12.8;0.03
2019-04-02T22:00:00Z;12.1;0.41
2019-04-02T23:00:00Z;11.7;0.33
2019-04-03T00:00:00Z;11.3;0.51
2019-04-03T01:00:00Z;11.0;0.66
2019-04-03T02:00:00Z;10.3;0.49
2019-04-03T03:00:00Z;9.5;0.29
2019-04-03T04:00:00Z;9.3;0.21
2019-04-03T05:00:00Z;9.4;0.66
2019-04-03T06:00:00Z;9.2;0.26
2019-04-03T07:00:00Z;9.3;1.72
2019-04-03T08:00:00Z;10.2;0.58
2019-04-03T09:00:00Z;10.9;0.00
2019-04-03T10:00:00Z;10.6;0.00
2019-04-03T11:00:00Z;10.8;0.00
2019-04-03T12:00:00Z;10.6;0.01
2019-04-03T13:00:00Z;8.2;0.00
