validdate;t_mean_2m_24h:C;precip_24h:mm
2019-04-01T07:00:00Z;11.4;0.00
2019-04-02T07:00:00Z;11.2;0.00
2019-04-03T07:00:00Z;13.3;3.90
2019-04-04T07:00:00Z;5.7;6.90
2019-04-05T07:00:00Z;2.9;2.21
2019-04-06T07:00:00Z;5.9;0.00
2019-04-07T07:00:00Z;9.5;0.00
2019-04-08T07:00:00Z;9.0;0.08
2019-04-09T07:00:00Z;9.5;0.00
2019-04-10T07:00:00Z;9.6;0.12
2019-04-11T07:00:00Z;8.6;2.49
2019-04-12T07:00:00Z;7.2;0.00
2019-04-13T07:00:00Z;7.1;0.00
2019-04-14T07:00:00Z;4.9;0.01
2019-04-15T07:00:00Z;4.1;0.21
2019-04-16T07:00:00Z;8.3;0.00
2019-04-17T07:00:00Z;10.9;1.59
2019-04-18T07:00:00Z;12.1;0.00
2019-04-19T07:00:00Z;13.4;0.00
2019-04-20T07:00:00Z;14.8;0.05
2019-04-21T07:00:00Z;15.1;0.00
2019-04-22T07:00:00Z;14.3;0.00
2019-04-23T07:00:00Z;16.1;0.00
2019-04-24T07:00:00Z;15.8;0.00
2019-04-25T07:00:00Z;13.0;4.03
2019-04-26T07:00:00Z;13.3;3.77
2019-04-27T07:00:00Z;9.9;2.39
2019-04-28T07:00:00Z;8.8;4.62
2019-04-29T07:00:00Z;7.7;0.26
2019-04-30T07:00:00Z;9.4;0.00
2019-05-01T07:00:00Z;9.3;0.00
2019-05-02T07:00:00Z;12.1;0.00
2019-05-03T07:00:00Z;11.7;13.31
2019-05-04T07:00:00Z;9.6;0.13
2019-05-05T07:00:00Z;5.6;2.47
2019-05-06T07:00:00Z;5.5;0.01
2019-05-07T07:00:00Z;7.2;0.00
2019-05-08T07:00:00Z;11.3;2.48
2019-05-09T07:00:00Z;9.7;15.68
2019-05-10T07:00:00Z;11.8;4.78
2019-05-11T07:00:00Z;13.3;3.50
2019-05-12T07:00:00Z;11.0;2.02
2019-05-13T07:00:00Z;9.9;0.60
2019-05-14T07:00:00Z;10.6;0.00
2019-05-15T07:00:00Z;11.0;0.00
2019-05-16T07:00:00Z;9.6;0.00
2019-05-17T07:00:00Z;9.9;0.00
2019-05-18T07:00:00Z;13.4;0.35
2019-05-19T07:00:00Z;13.8;4.03
2019-05-20T07:00:00Z;14.2;26.50
2019-05-21T07:00:00Z;12.8;4.76
2019-05-22T07:00:00Z;12.3;1.02
2019-05-23T07:00:00Z;13.7;0.00
2019-05-24T07:00:00Z;15.3;0.00
2019-05-25T07:00:00Z;17.2;0.00
2019-05-26T07:00:00Z;15.6;2.59
2019-05-27T07:00:00Z;16.2;0.00
2019-05-28T07:00:00Z;16.7;1.34
2019-05-29T07:00:00Z;12.8;4.30
2019-05-30T07:00:00Z;12.8;0.00
2019-05-31T07:00:00Z;16.0;0.00
2019-06-01T07:00:00Z;17.9;0.00
2019-06-02T07:00:00Z;19.9;0.00
2019-06-03T07:00:00Z;22.5;0.00
2019-06-04T07:00:00Z;21.5;0.47
2019-06-05T07:00:00Z;22.9;0.05
2019-06-06T07:00:00Z;20.7;0.49
2019-06-07T07:00:00Z;12.9;9.39
2019-06-08T07:00:00Z;17.0;4.17
2019-06-09T07:00:00Z;16.0;0.00
2019-06-10T07:00:00Z;16.2;13.18
2019-06-11T07:00:00Z;15.7;29.79
2019-06-12T07:00:00Z;14.3;0.02
2019-06-13T07:00:00Z;15.9;1.57
2019-06-14T07:00:00Z;18.2;0.76
2019-06-15T07:00:00Z;19.7;0.47
2019-06-16T07:00:00Z;17.9;16.35
2019-06-17T07:00:00Z;17.5;0.01
2019-06-18T07:00:00Z;19.9;0.00
2019-06-19T07:00:00Z;22.3;0.00
2019-06-20T07:00:00Z;23.2;12.82
2019-06-21T07:00:00Z;18.5;19.49
2019-06-22T07:00:00Z;19.3;2.72
2019-06-23T07:00:00Z;18.5;0.80
2019-06-24T07:00:00Z;20.9;0.00
2019-06-25T07:00:00Z;24.7;0.00
2019-06-26T07:00:00Z;26.4;0.01
2019-06-27T07:00:00Z;27.7;0.01
2019-06-28T07:00:00Z;26.3;0.00
2019-06-29T07:00:00Z;23.6;0.00
2019-06-30T07:00:00Z;25.7;0.00
2019-07-01T07:00:00Z;28.6;0.10
2019-07-02T07:00:00Z;25.7;0.00
2019-07-03T07:00:00Z;22.9;0.00
2019-07-04T07:00:00Z;22.0;0.00
2019-07-05T07:00:00Z;22.4;0.00
2019-07-06T07:00:00Z;24.1;0.00
2019-07-07T07:00:00Z;22.9;10.75
2019-07-08T07:00:00Z;21.9;0.13
2019-07-09T07:00:00Z;17.9;0.00
2019-07-10T07:00:00Z;17.6;0.00
2019-07-11T07:00:00Z;19.0;0.00
2019-07-12T07:00:00Z;18.1;3.99
2019-07-13T07:00:00Z;20.8;1.89
2019-07-14T07:00:00Z;18.9;0.00
2019-07-15T07:00:00Z;17.5;16.19
2019-07-16T07:00:00Z;17.4;0.00
2019-07-17T07:00:00Z;19.8;0.00
2019-07-18T07:00:00Z;21.5;0.00
2019-07-19T07:00:00Z;22.5;0.00
2019-07-20T07:00:00Z;22.7;0.00
2019-07-21T07:00:00Z;25.1;6.02
2019-07-22T07:00:00Z;23.3;0.00
2019-07-23T07:00:00Z;23.4;0.00
2019-07-24T07:00:00Z;26.8;0.00
2019-07-25T07:00:00Z;28.4;0.00
2019-07-26T07:00:00Z;28.9;0.08
2019-07-27T07:00:00Z;26.1;39.80
2019-07-28T07:00:00Z;20.9;12.91
2019-07-29T07:00:00Z;17.5;1.42
2019-07-30T07:00:00Z;21.7;0.00
2019-07-31T07:00:00Z;22.0;2.94
2019-08-01T07:00:00Z;19.6;0.00
2019-08-02T07:00:00Z;20.9;0.15
2019-08-03T07:00:00Z;20.8;1.34
2019-08-04T07:00:00Z;20.5;0.00
2019-08-05T07:00:00Z;23.0;0.27
2019-08-06T07:00:00Z;24.5;31.35
2019-08-07T07:00:00Z;23.1;10.60
2019-08-08T07:00:00Z;18.4;16.72
2019-08-09T07:00:00Z;21.7;0.00
2019-08-10T07:00:00Z;25.7;8.88
2019-08-11T07:00:00Z;21.1;0.60
2019-08-12T07:00:00Z;19.6;8.47
2019-08-13T07:00:00Z;17.1;0.27
2019-08-14T07:00:00Z;16.3;0.00
2019-08-15T07:00:00Z;17.8;0.00
2019-08-16T07:00:00Z;18.2;0.19
2019-08-17T07:00:00Z;19.3;0.08
2019-08-18T07:00:00Z;20.9;0.46
2019-08-19T07:00:00Z;23.4;14.11
2019-08-20T07:00:00Z;18.7;2.84
2019-08-21T07:00:00Z;14.9;17.13
2019-08-22T07:00:00Z;16.4;0.00
2019-08-23T07:00:00Z;17.6;0.00
2019-08-24T07:00:00Z;18.8;0.00
2019-08-25T07:00:00Z;20.1;0.00
2019-08-26T07:00:00Z;21.8;0.00
2019-08-27T07:00:00Z;22.1;0.00
2019-08-28T07:00:00Z;24.1;0.58
2019-08-29T07:00:00Z;23.9;0.00
2019-08-30T07:00:00Z;22.4;0.40
2019-08-31T07:00:00Z;22.1;0.00
2019-09-01T07:00:00Z;24.4;0.00
2019-09-02T07:00:00Z;21.2;0.00
2019-09-03T07:00:00Z;20.9;0.00
2019-09-04T07:00:00Z;20.7;0.00
2019-09-05T07:00:00Z;20.4;0.00
2019-09-06T07:00:00Z;20.2;0.00
2019-09-07T07:00:00Z;19.9;0.00
2019-09-08T07:00:00Z;19.7;0.00
2019-09-09T07:00:00Z;19.4;0.00
2019-09-10T07:00:00Z;19.2;0.00
2019-09-11T07:00:00Z;18.9;0.00
2019-09-12T07:00:00Z;18.7;0.00
2019-09-13T07:00:00Z;18.4;0.00
2019-09-14T07:00:00Z;18.2;0.00
2019-09-15T07:00:00Z;17.9;0.00
2019-09-16T07:00:00Z;17.7;0.00
2019-09-17T07:00:00Z;17.4;0.00
2019-09-18T07:00:00Z;17.2;0.00
2019-09-19T07:00:00Z;16.9;0.00
2019-09-20T07:00:00Z;16.7;0.00
2019-09-21T07:00:00Z;16.4;0.00
2019-09-22T07:00:00Z;16.2;0.00
2019-09-23T07:00:00Z;15.9;0.00
2019-09-24T07:00:00Z;15.7;0.00
2019-09-25T07:00:00Z;15.5;0.00
2019-09-26T07:00:00Z;15.0;1.33
2019-09-27T07:00:00Z;16.2;0.08
2019-09-28T07:00:00Z;16.7;2.54
