city_id,osm_id,cci_id,type,geometry,coordinates
86,263256727,324,Place,Polygon,"POLYGON((7.601737973795679 47.532477, 7.601737012793303 47.53249029658966, 7.601734139041156 47.53250346512589, 7.60172938021504 47.53251637878849, 7.601722782145053 47.532528913211834, 7.601714408374216 47.53254094768257, 7.601704339546519 47.53255236630216, 7.601692672630277 47.53256305910307, 7.6016795199842715 47.532572923107764, 7.601665008275673 47.532581863320495, 7.60164927726017 47.532589793642124, 7.601632478436039 47.53259663769933, 7.6016147735851405 47.53260232958008, 7.601596333214867 47.532606814468465, 7.6015773349160645 47.532610049172554, 7.601557961652737 47.53261200254038, 7.6015384 47.53261265575994, 7.601518838347263 47.53261200254038, 7.601499465083935 47.532610049172554, 7.601480466785133 47.532606814468465, 7.601462026414859 47.53260232958008, 7.601444321563961 47.53259663769933, 7.60142752273983 47.532589793642124, 7.601411791724327 47.532581863320495, 7.601397280015728 47.532572923107764, 7.601384127369723 47.53256305910307, 7.601372460453481 47.53255236630216, 7.601362391625784 47.53254094768257, 7.601354017854947 47.532528913211834, 7.60134741978496 47.53251637878849, 7.601342660958844 47.53250346512589, 7.601339787206697 47.53249029658966, 7.601338826204321 47.532477, 7.601339787206697 47.53246370341034, 7.601342660958844 47.53245053487411, 7.60134741978496 47.53243762121151, 7.601354017854947 47.532425086788166, 7.601362391625784 47.53241305231743, 7.601372460453481 47.53240163369784, 7.601384127369723 47.53239094089693, 7.601397280015728 47.532381076892236, 7.601411791724327 47.532372136679506, 7.60142752273983 47.532364206357876, 7.601444321563961 47.53235736230067, 7.601462026414859 47.53235167041992, 7.601480466785133 47.532347185531535, 7.601499465083935 47.532343950827446, 7.601518838347263 47.53234199745962, 7.6015384 47.53234134424006, 7.601557961652737 47.53234199745962, 7.6015773349160645 47.532343950827446, 7.601596333214867 47.532347185531535, 7.6016147735851405 47.53235167041992, 7.601632478436039 47.53235736230067, 7.60164927726017 47.532364206357876, 7.601665008275673 47.532372136679506, 7.6016795199842715 47.532381076892236, 7.601692672630277 47.53239094089693, 7.601704339546519 47.53240163369784, 7.601714408374216 47.53241305231743, 7.601722782145053 47.532425086788166, 7.60172938021504 47.53243762121151, 7.601734139041156 47.53245053487411, 7.601737012793303 47.53246370341034, 7.601737973795679 47.532477))"
86,270322890,NA,Place,Polygon,"POLYGON((7.568622384667696 47.561588, 7.568621423131442 47.56160129658966, 7.5686185477827985 47.56161446512589, 7.5686137863129455 47.561627378788494, 7.5686071845774405 47.561639913211835, 7.568598806154606 47.56165194768257, 7.568588731733232 47.56166336630216, 7.568577058335506 47.56167405910307, 7.568563898382627 47.561683923107765, 7.568549378612137 47.561692863320495, 7.568533638857362 47.561700793642125, 7.568516830700746 47.56170763769933, 7.568499116014025 47.56171332958008, 7.568480665399315 47.561717814468466, 7.5684616565461225 47.561721049172554, 7.5684422725200955 47.56172300254038, 7.5684227 47.56172365575994, 7.568403127479905 47.56172300254038, 7.568383743453878 47.561721049172554, 7.568364734600685 47.561717814468466, 7.568346283985975 47.56171332958008, 7.568328569299254 47.56170763769933, 7.568311761142638 47.561700793642125, 7.568296021387863 47.561692863320495, 7.568281501617373 47.561683923107765, 7.568268341664495 47.56167405910307, 7.568256668266768 47.56166336630216, 7.568246593845394 47.56165194768257, 7.56823821542256 47.561639913211835, 7.568231613687055 47.561627378788494, 7.568226852217202 47.56161446512589, 7.568223976868558 47.56160129658966, 7.568223015332304 47.561588, 7.568223976868558 47.56157470341034, 7.568226852217202 47.56156153487411, 7.568231613687055 47.56154862121151, 7.56823821542256 47.561536086788166, 7.568246593845394 47.56152405231743, 7.568256668266768 47.56151263369784, 7.568268341664495 47.56150194089693, 7.568281501617373 47.561492076892236, 7.568296021387863 47.561483136679506, 7.568311761142638 47.561475206357876, 7.568328569299254 47.56146836230067, 7.568346283985975 47.56146267041992, 7.568364734600685 47.561458185531535, 7.568383743453878 47.56145495082745, 7.568403127479905 47.56145299745962, 7.5684227 47.56145234424006, 7.5684422725200955 47.56145299745962, 7.5684616565461225 47.56145495082745, 7.568480665399315 47.561458185531535, 7.568499116014025 47.56146267041992, 7.568516830700746 47.56146836230067, 7.568533638857362 47.561475206357876, 7.568549378612137 47.561483136679506, 7.568563898382627 47.561492076892236, 7.568577058335506 47.56150194089693, 7.568588731733232 47.56151263369784, 7.568598806154606 47.56152405231743, 7.5686071845774405 47.561536086788166, 7.5686137863129455 47.56154862121151, 7.5686185477827985 47.56156153487411, 7.568621423131442 47.56157470341034, 7.568622384667696 47.561588))"
86,274674809,NA,Place,Polygon,"POLYGON((7.589516633078348 47.5480482, 7.58951567179051 47.54806149658965, 7.5895127971847245 47.54807466512589, 7.589508036945017 47.54808757878849, 7.589501436915097 47.54810011321183, 7.589493060656862 47.548112147682566, 7.589482988838257 47.54812356630216, 7.5894713184563996 47.548134259103065, 7.5894581619034485 47.54814412310776, 7.5894436458842005 47.54815306332049, 7.589427910195856 47.54816099364212, 7.589411106381696 47.548167837699324, 7.589393396271636 47.548173529580076, 7.589374950423718 47.54817801446846, 7.5893559464815405 47.54818124917255, 7.589336567463455 47.54818320254038, 7.589317 47.54818385575994, 7.589297432536545 47.54818320254038, 7.58927805351846 47.54818124917255, 7.589259049576283 47.54817801446846, 7.589240603728364 47.548173529580076, 7.589222893618305 47.548167837699324, 7.5892060898041445 47.54816099364212, 7.5891903541158 47.54815306332049, 7.589175838096552 47.54814412310776, 7.589162681543601 47.548134259103065, 7.589151011161744 47.54812356630216, 7.589140939343139 47.548112147682566, 7.589132563084903 47.54810011321183, 7.589125963054983 47.54808757878849, 7.589121202815276 47.54807466512589, 7.589118328209491 47.54806149658965, 7.589117366921653 47.5480482, 7.589118328209491 47.54803490341034, 7.589121202815276 47.548021734874105, 7.589125963054983 47.5480088212115, 7.589132563084903 47.54799628678816, 7.589140939343139 47.54798425231743, 7.589151011161744 47.547972833697834, 7.589162681543601 47.54796214089693, 7.589175838096552 47.54795227689223, 7.5891903541158 47.5479433366795, 7.5892060898041445 47.54793540635787, 7.589222893618305 47.54792856230067, 7.589240603728364 47.54792287041992, 7.589259049576283 47.54791838553153, 7.58927805351846 47.54791515082744, 7.589297432536545 47.547913197459614, 7.589317 47.547912544240056, 7.589336567463455 47.547913197459614, 7.5893559464815405 47.54791515082744, 7.589374950423718 47.54791838553153, 7.589393396271636 47.54792287041992, 7.589411106381696 47.54792856230067, 7.589427910195856 47.54793540635787, 7.5894436458842005 47.5479433366795, 7.5894581619034485 47.54795227689223, 7.5894713184563996 47.54796214089693, 7.589482988838257 47.547972833697834, 7.589493060656862 47.54798425231743, 7.589501436915097 47.54799628678816, 7.589508036945017 47.5480088212115, 7.5895127971847245 47.548021734874105, 7.58951567179051 47.54803490341034, 7.589516633078348 47.5480482))"
86,583586314,251,Place,Polygon,"POLYGON((7.583728694181322 47.5640838, 7.583727732599257 47.564097096589656, 7.583724857113623 47.56411026512589, 7.583720095416918 47.56412317878849, 7.5837134933668855 47.56413571321183, 7.583705114544875 47.56414774768257, 7.583695039643523 47.56415916630216, 7.583683365689637 47.56416985910307, 7.583670205109777 47.56417972310776, 7.583655684647518 47.56418866332049, 7.58363994414285 47.56419659364212, 7.583623135185438 47.56420343769933, 7.583605419654732 47.56420912958008, 7.583586968160975 47.564213614468464, 7.583567958402139 47.56421684917255, 7.583548573452594 47.56421880254038, 7.583529 47.56421945575994, 7.583509426547407 47.56421880254038, 7.583490041597861 47.56421684917255, 7.583471031839026 47.564213614468464, 7.583452580345269 47.56420912958008, 7.583434864814563 47.56420343769933, 7.583418055857151 47.56419659364212, 7.583402315352483 47.56418866332049, 7.583387794890224 47.56417972310776, 7.583374634310363 47.56416985910307, 7.583362960356478 47.56415916630216, 7.583352885455126 47.56414774768257, 7.583344506633115 47.56413571321183, 7.583337904583082 47.56412317878849, 7.583333142886378 47.56411026512589, 7.5833302674007435 47.564097096589656, 7.583329305818679 47.5640838, 7.5833302674007435 47.56407050341034, 7.583333142886378 47.56405733487411, 7.583337904583082 47.564044421211506, 7.583344506633115 47.564031886788165, 7.583352885455126 47.56401985231743, 7.583362960356478 47.564008433697836, 7.583374634310363 47.56399774089693, 7.583387794890224 47.563987876892234, 7.583402315352483 47.563978936679504, 7.583418055857151 47.563971006357875, 7.583434864814563 47.56396416230067, 7.583452580345269 47.56395847041992, 7.583471031839026 47.56395398553153, 7.583490041597861 47.563950750827445, 7.583509426547407 47.56394879745962, 7.583529 47.56394814424006, 7.583548573452594 47.56394879745962, 7.583567958402139 47.563950750827445, 7.583586968160975 47.56395398553153, 7.583605419654732 47.56395847041992, 7.583623135185438 47.56396416230067, 7.58363994414285 47.563971006357875, 7.583655684647518 47.563978936679504, 7.583670205109777 47.563987876892234, 7.583683365689637 47.56399774089693, 7.583695039643523 47.564008433697836, 7.583705114544875 47.56401985231743, 7.5837134933668855 47.564031886788165, 7.583720095416918 47.564044421211506, 7.583724857113623 47.56405733487411, 7.583727732599257 47.56407050341034, 7.583728694181322 47.5640838))"
86,707688638,266,Place,Polygon,"POLYGON((7.569987711883181 47.5687268, 7.569986750215876 47.56874009658966, 7.569983874475345 47.56875326512589, 7.569979112356541 47.56876617878849, 7.5699725097212704 47.568778713211834, 7.56996413015652 47.56879074768257, 7.56995405436208 47.56880216630216, 7.56994237937336 47.56881285910307, 7.569929217626881 47.568822723107765, 7.569914695877458 47.568831663320495, 7.569898953977476 47.568839593642124, 7.5698821435300365 47.56884643769933, 7.56986442642894 47.56885212958008, 7.569845973299553 47.568856614468466, 7.5698269618556004 47.568859849172554, 7.569807575187679 47.56886180254038, 7.569788 47.56886245575994, 7.569768424812321 47.56886180254038, 7.5697490381443995 47.568859849172554, 7.569730026700447 47.568856614468466, 7.56971157357106 47.56885212958008, 7.569693856469963 47.56884643769933, 7.569677046022524 47.568839593642124, 7.569661304122542 47.568831663320495, 7.569646782373119 47.568822723107765, 7.56963362062664 47.56881285910307, 7.56962194563792 47.56880216630216, 7.56961186984348 47.56879074768257, 7.5696034902787295 47.568778713211834, 7.569596887643459 47.56876617878849, 7.569592125524655 47.56875326512589, 7.569589249784124 47.56874009658966, 7.569588288116819 47.5687268, 7.569589249784124 47.56871350341034, 7.569592125524655 47.56870033487411, 7.569596887643459 47.56868742121151, 7.5696034902787295 47.568674886788166, 7.56961186984348 47.56866285231743, 7.56962194563792 47.56865143369784, 7.56963362062664 47.56864074089693, 7.569646782373119 47.568630876892236, 7.569661304122542 47.568621936679506, 7.569677046022524 47.568614006357876, 7.569693856469963 47.56860716230067, 7.56971157357106 47.56860147041992, 7.569730026700447 47.568596985531535, 7.5697490381443995 47.568593750827446, 7.569768424812321 47.56859179745962, 7.569788 47.56859114424006, 7.569807575187679 47.56859179745962, 7.5698269618556004 47.568593750827446, 7.569845973299553 47.568596985531535, 7.56986442642894 47.56860147041992, 7.5698821435300365 47.56860716230067, 7.569898953977476 47.568614006357876, 7.569914695877458 47.568621936679506, 7.569929217626881 47.568630876892236, 7.56994237937336 47.56864074089693, 7.56995405436208 47.56865143369784, 7.56996413015652 47.56866285231743, 7.5699725097212704 47.568674886788166, 7.569979112356541 47.56868742121151, 7.569983874475345 47.56870033487411, 7.569986750215876 47.56871350341034, 7.569987711883181 47.5687268))"
86,707688677,266,Place,Polygon,"POLYGON((7.573156901658795 47.5660452, 7.573155940040723 47.566058496589655, 7.573153064447418 47.56607166512589, 7.573148302572413 47.56608457878849, 7.573141700275169 47.56609711321183, 7.573133321139417 47.56610914768257, 7.573123245860814 47.56612056630216, 7.573111571469802 47.56613125910307, 7.573098410397148 47.56614112310776, 7.573083889391176 47.56615006332049, 7.573068148297111 47.56615799364212, 7.573051338710295 47.566164837699326, 7.5730336225162365 47.56617052958008, 7.573015170331571 47.56617501446846, 7.572996159860922 47.56617824917255, 7.5729767741855145 47.56618020254038, 7.5729572 47.56618085575994, 7.572937625814486 47.56618020254038, 7.572918240139079 47.56617824917255, 7.57289922966843 47.56617501446846, 7.572880777483764 47.56617052958008, 7.572863061289706 47.566164837699326, 7.57284625170289 47.56615799364212, 7.572830510608824 47.56615006332049, 7.572815989602852 47.56614112310776, 7.5728028285301985 47.56613125910307, 7.572791154139186 47.56612056630216, 7.572781078860584 47.56610914768257, 7.5727726997248315 47.56609711321183, 7.572766097427587 47.56608457878849, 7.572761335552583 47.56607166512589, 7.572758459959277 47.566058496589655, 7.572757498341206 47.5660452, 7.572758459959277 47.56603190341034, 7.572761335552583 47.566018734874106, 7.572766097427587 47.566005821211505, 7.5727726997248315 47.565993286788164, 7.572781078860584 47.56598125231743, 7.572791154139186 47.565969833697835, 7.5728028285301985 47.56595914089693, 7.572815989602852 47.56594927689223, 7.572830510608824 47.5659403366795, 7.57284625170289 47.565932406357874, 7.572863061289706 47.56592556230067, 7.572880777483764 47.56591987041992, 7.57289922966843 47.56591538553153, 7.572918240139079 47.565912150827444, 7.572937625814486 47.565910197459615, 7.5729572 47.56590954424006, 7.5729767741855145 47.565910197459615, 7.572996159860922 47.565912150827444, 7.573015170331571 47.56591538553153, 7.5730336225162365 47.56591987041992, 7.573051338710295 47.56592556230067, 7.573068148297111 47.565932406357874, 7.573083889391176 47.5659403366795, 7.573098410397148 47.56594927689223, 7.573111571469802 47.56595914089693, 7.573123245860814 47.565969833697835, 7.573133321139417 47.56598125231743, 7.573141700275169 47.565993286788164, 7.573148302572413 47.566005821211505, 7.573153064447418 47.566018734874106, 7.573155940040723 47.56603190341034, 7.573156901658795 47.5660452))"
86,707688723,266,Place,Polygon,"POLYGON((7.573843098654215 47.5652571, 7.573842137050611 47.56527039658965, 7.57383926150057 47.56528356512589, 7.573834499697209 47.56529647878849, 7.5738278974992985 47.56530901321183, 7.573819518489613 47.565321047682566, 7.573809443362597 47.56533246630216, 7.57379776914723 47.565343159103065, 7.573784608272589 47.56535302310776, 7.57377008748509 47.56536196332049, 7.573754346627855 47.56536989364212, 7.573737537293945 47.565376737699324, 7.573719821366433 47.565382429580076, 7.573701369459386 47.56538691446846, 7.573682359274756 47.56539014917255, 7.573662973891014 47.56539210254038, 7.5736434 47.56539275575994, 7.573623826108986 47.56539210254038, 7.573604440725243 47.56539014917255, 7.573585430540613 47.56538691446846, 7.573566978633567 47.565382429580076, 7.573549262706055 47.565376737699324, 7.573532453372144 47.56536989364212, 7.57351671251491 47.56536196332049, 7.573502191727411 47.56535302310776, 7.57348903085277 47.565343159103065, 7.573477356637403 47.56533246630216, 7.5734672815103865 47.565321047682566, 7.573458902500701 47.56530901321183, 7.573452300302791 47.56529647878849, 7.57344753849943 47.56528356512589, 7.573444662949389 47.56527039658965, 7.573443701345785 47.5652571, 7.573444662949389 47.56524380341034, 7.57344753849943 47.565230634874105, 7.573452300302791 47.5652177212115, 7.573458902500701 47.56520518678816, 7.5734672815103865 47.56519315231743, 7.573477356637403 47.565181733697834, 7.57348903085277 47.56517104089693, 7.573502191727411 47.56516117689223, 7.57351671251491 47.5651522366795, 7.573532453372144 47.56514430635787, 7.573549262706055 47.56513746230067, 7.573566978633567 47.56513177041992, 7.573585430540613 47.56512728553153, 7.573604440725243 47.56512405082744, 7.573623826108986 47.565122097459614, 7.5736434 47.565121444240056, 7.573662973891014 47.565122097459614, 7.573682359274756 47.56512405082744, 7.573701369459386 47.56512728553153, 7.573719821366433 47.56513177041992, 7.573737537293945 47.56513746230067, 7.573754346627855 47.56514430635787, 7.57377008748509 47.5651522366795, 7.573784608272589 47.56516117689223, 7.57379776914723 47.56517104089693, 7.573809443362597 47.565181733697834, 7.573819518489613 47.56519315231743, 7.5738278974992985 47.56520518678816, 7.573834499697209 47.5652177212115, 7.57383926150057 47.565230634874105, 7.573842137050611 47.56524380341034, 7.573843098654215 47.5652571))"
86,707688727,266,Place,Polygon,"POLYGON((7.573092700297358 47.5656881, 7.573091738685842 47.56570139658966, 7.57308886311214 47.565714565125894, 7.5730841012695995 47.565727478788496, 7.573077499017365 47.56574001321184, 7.5730691199387365 47.56575204768257, 7.57305904472882 47.565763466302165, 7.573047370417397 47.56577415910307, 7.573034209434467 47.56578402310777, 7.573019688527489 47.5657929633205, 7.573003947540737 47.56580089364213, 7.572987138068517 47.56580773769933, 7.572969421995237 47.56581342958008, 7.5729509699363655 47.56581791446847, 7.5729319595953175 47.56582114917256, 7.5729125740520695 47.565823102540385, 7.572893 47.56582375575994, 7.57287342594793 47.565823102540385, 7.572854040404682 47.56582114917256, 7.572835030063634 47.56581791446847, 7.572816578004763 47.56581342958008, 7.572798861931482 47.56580773769933, 7.572782052459262 47.56580089364213, 7.572766311472511 47.5657929633205, 7.572751790565532 47.56578402310777, 7.572738629582602 47.56577415910307, 7.572726955271179 47.565763466302165, 7.572716880061263 47.56575204768257, 7.5727085009826345 47.56574001321184, 7.5727018987304 47.565727478788496, 7.572697136887859 47.565714565125894, 7.572694261314157 47.56570139658966, 7.5726932997026415 47.5656881, 7.572694261314157 47.565674803410346, 7.572697136887859 47.56566163487411, 7.5727018987304 47.56564872121151, 7.5727085009826345 47.56563618678817, 7.572716880061263 47.56562415231743, 7.572726955271179 47.56561273369784, 7.572738629582602 47.565602040896934, 7.572751790565532 47.56559217689224, 7.572766311472511 47.56558323667951, 7.572782052459262 47.56557530635788, 7.572798861931482 47.565568462300675, 7.572816578004763 47.56556277041992, 7.572835030063634 47.56555828553154, 7.572854040404682 47.56555505082745, 7.57287342594793 47.56555309745962, 7.572893 47.56555244424006, 7.5729125740520695 47.56555309745962, 7.5729319595953175 47.56555505082745, 7.5729509699363655 47.56555828553154, 7.572969421995237 47.56556277041992, 7.572987138068517 47.565568462300675, 7.573003947540737 47.56557530635788, 7.573019688527489 47.56558323667951, 7.573034209434467 47.56559217689224, 7.573047370417397 47.565602040896934, 7.57305904472882 47.56561273369784, 7.5730691199387365 47.56562415231743, 7.573077499017365 47.56563618678817, 7.5730841012695995 47.56564872121151, 7.57308886311214 47.56566163487411, 7.573091738685842 47.565674803410346, 7.573092700297358 47.5656881))"
86,759733150,287,Place,Polygon,"POLYGON((7.564977301710264 47.5660587, 7.5649763400919445 47.566071996589656, 7.564973464497898 47.56608516512589, 7.564968702621666 47.56609807878849, 7.56496210032272 47.56611061321183, 7.564953721184808 47.56612264768257, 7.564943645903609 47.56613406630216, 7.564931971509588 47.56614475910307, 7.564918810433542 47.566154623107764, 7.564904289423827 47.566163563320494, 7.564888548325706 47.56617149364212, 7.564871738734557 47.56617833769933, 7.564854022535933 47.56618402958008, 7.564835570346511 47.566188514468465, 7.5648165598709625 47.56619174917255, 7.564797174190559 47.56619370254038, 7.5647776 47.56619435575994, 7.564758025809441 47.56619370254038, 7.564738640129038 47.56619174917255, 7.5647196296534895 47.566188514468465, 7.564701177464068 47.56618402958008, 7.564683461265443 47.56617833769933, 7.564666651674295 47.56617149364212, 7.564650910576173 47.566163563320494, 7.564636389566458 47.566154623107764, 7.5646232284904125 47.56614475910307, 7.564611554096391 47.56613406630216, 7.5646014788151925 47.56612264768257, 7.56459309967728 47.56611061321183, 7.564586497378334 47.56609807878849, 7.564581735502102 47.56608516512589, 7.564578859908056 47.566071996589656, 7.564577898289737 47.5660587, 7.564578859908056 47.56604540341034, 7.564581735502102 47.56603223487411, 7.564586497378334 47.566019321211506, 7.56459309967728 47.566006786788165, 7.5646014788151925 47.56599475231743, 7.564611554096391 47.56598333369784, 7.5646232284904125 47.56597264089693, 7.564636389566458 47.565962776892235, 7.564650910576173 47.565953836679505, 7.564666651674295 47.565945906357875, 7.564683461265443 47.56593906230067, 7.564701177464068 47.56593337041992, 7.5647196296534895 47.565928885531534, 7.564738640129038 47.565925650827445, 7.564758025809441 47.56592369745962, 7.5647776 47.56592304424006, 7.564797174190559 47.56592369745962, 7.5648165598709625 47.565925650827445, 7.564835570346511 47.565928885531534, 7.564854022535933 47.56593337041992, 7.564871738734557 47.56593906230067, 7.564888548325706 47.565945906357875, 7.564904289423827 47.565953836679505, 7.564918810433542 47.565962776892235, 7.564931971509588 47.56597264089693, 7.564943645903609 47.56598333369784, 7.564953721184808 47.56599475231743, 7.56496210032272 47.566006786788165, 7.564968702621666 47.566019321211506, 7.564973464497898 47.56603223487411, 7.5649763400919445 47.56604540341034, 7.564977301710264 47.5660587))"
86,759733151,287,Place,Polygon,"POLYGON((7.565369203143785 47.5664347, 7.565368241518564 47.56644799658966, 7.565365365903874 47.566461165125894, 7.565360603993461 47.566474078788495, 7.565354001647121 47.566486613211836, 7.565345622449061 47.56649864768257, 7.565335547095539 47.566510066302165, 7.565323872617715 47.56652075910307, 7.565310711447195 47.56653062310777, 7.565296190333243 47.5665395633205, 7.5652804491221275 47.566547493642126, 7.565263639410314 47.56655433769933, 7.565245923084517 47.56656002958008, 7.56522747076264 47.56656451446847, 7.565208460150628 47.566567749172556, 7.565189074331069 47.566569702540384, 7.5651695 47.56657035575994, 7.565149925668931 47.566569702540384, 7.565130539849371 47.566567749172556, 7.56511152923736 47.56656451446847, 7.565093076915482 47.56656002958008, 7.565075360589685 47.56655433769933, 7.565058550877872 47.566547493642126, 7.565042809666756 47.5665395633205, 7.565028288552805 47.56653062310777, 7.565015127382284 47.56652075910307, 7.5650034529044605 47.566510066302165, 7.564993377550938 47.56649864768257, 7.5649849983528785 47.566486613211836, 7.564978396006539 47.566474078788495, 7.564973634096125 47.566461165125894, 7.564970758481436 47.56644799658966, 7.564969796856214 47.5664347, 7.564970758481436 47.566421403410345, 7.564973634096125 47.56640823487411, 7.564978396006539 47.56639532121151, 7.5649849983528785 47.56638278678817, 7.564993377550938 47.56637075231743, 7.5650034529044605 47.56635933369784, 7.565015127382284 47.56634864089693, 7.565028288552805 47.56633877689224, 7.565042809666756 47.56632983667951, 7.565058550877872 47.56632190635788, 7.565075360589685 47.566315062300674, 7.565093076915482 47.56630937041992, 7.56511152923736 47.56630488553154, 7.565130539849371 47.56630165082745, 7.565149925668931 47.56629969745962, 7.5651695 47.56629904424006, 7.565189074331069 47.56629969745962, 7.565208460150628 47.56630165082745, 7.56522747076264 47.56630488553154, 7.565245923084517 47.56630937041992, 7.565263639410314 47.566315062300674, 7.5652804491221275 47.56632190635788, 7.565296190333243 47.56632983667951, 7.565310711447195 47.56633877689224, 7.565323872617715 47.56634864089693, 7.565335547095539 47.56635933369784, 7.565345622449061 47.56637075231743, 7.565354001647121 47.56638278678817, 7.565360603993461 47.56639532121151, 7.565365365903874 47.56640823487411, 7.565368241518564 47.566421403410345, 7.565369203143785 47.5664347))"
