"01.01.2019";"New Year´s Day";"Tue";"week 01"
"11.03.2019";"Carnival";"Mon";"week 11"
"12.03.2019";"Carnival Tuesday";"Tue";"week 11"
"13.03.2019";"Carnival Wednesday";"Wed";"week 11"
"19.04.2019";"Good Friday";"Fri";"week 16"
"21.04.2019";"Easter";"Sun";"week 16"
"22.04.2019";"Easter Monday";"Mon";"week 17"
"01.05.2019";"Labour Day";"Wed";"week 18"
"30.05.2019";"Ascension Day";"Thu";"week 22"
"09.06.2019";"Whitsun";"Sun";"week 23"
"10.06.2019";"Whit Monday";"Mon";"week 24"
"01.08.2019";"Swiss National Holiday";"Thu";"week 31"
"25.12.2019";"Christmas";"Wed";"week 52"
"26.12.2019";"St. Stephen´s Day";"Thu";"week 52"
